StudyID,ParticipantID,Composite pair,Congruent pair,TestID,TrialID,Training,isDesigner,First,Second,Same,Response,Correct,ET,RT,RTnorm,Date,Correctnorm,AUC,AUCnorm
Main,23,False,False,1,12,Graphic designer,True,a_DD,a_AA,False,Probably same,0.9166666666666666,538.9,4071.9166666666665,8.28818186148604,2022-06-05 10:06:58,2.555907110132642,0.0,0.0
Main,23,False,True,1,12,Graphic designer,True,p_AA,p_AA,True,Sure same,0.9166666666666666,538.9,3878.0833333333335,8.258695410246249,2022-06-05 10:06:58,2.555907110132642,0.0,0.0
Main,23,True,False,1,36,Graphic designer,True,e_AD,e_BD,False,Probably different,0.6944444444444444,538.9,8394.277777777777,8.422695222212674,2022-06-05 10:06:58,1.9702215666754914,0.613978494623656,1.8007752371924575
Main,23,True,True,1,12,Graphic designer,True,h_AD,h_AD,True,Sure different,0.8333333333333334,538.9,3842.75,8.247387857675925,2022-06-05 10:06:58,2.300523983021863,0.0,0.0
Main,24,False,False,1,12,Non-designer,False,q_AA,q_DD,False,Sure different,0.9166666666666666,188.9,3061.5,8.016821401409796,2022-06-05 06:16:20,2.555907110132642,0.0,0.0
Main,24,False,True,1,12,Non-designer,False,c_AA,c_AA,True,Probably same,0.9166666666666666,188.9,4226.833333333333,8.327406425566428,2022-06-05 06:16:20,2.555907110132642,0.0,0.0
Main,24,True,False,1,36,Non-designer,False,q_AD,q_BC,False,Sure different,0.7222222222222222,188.9,3678.8888888888887,8.17812657749367,2022-06-05 06:16:20,2.031350318476219,0.832258064516129,2.2976424433639577
Main,24,True,True,1,12,Non-designer,False,h_AD,h_AD,True,Probably different,0.5,188.9,4005.75,8.258877877288127,2022-06-05 06:16:20,1.5707963267948968,0.0,0.0
Main,25,False,False,1,12,Non-designer,False,b_DD,b_AA,False,Sure different,0.9166666666666666,150.0,3058.5,8.005404240529518,2022-06-05 05:39:27,2.555907110132642,0.0,0.0
Main,25,False,True,1,12,Non-designer,False,j_AA,j_AA,True,Probably same,1.0,150.0,2927.0833333333335,7.980333997860948,2022-06-05 05:39:27,3.141592653589793,0.0,0.0
Main,25,True,False,1,36,Non-designer,False,h_AD,h_AB,True,Probably same,0.5833333333333334,150.0,3138.4166666666665,8.04135984786168,2022-06-05 05:39:27,1.738244406014586,0.7419354838709677,2.075868916540763
Main,25,True,True,1,12,Non-designer,False,n_AD,n_AD,True,Sure different,0.9166666666666666,150.0,2970.5833333333335,7.994616912355362,2022-06-05 05:39:27,2.555907110132642,0.0,0.0
Main,26,False,False,1,12,Non-designer,False,j_DD,j_AA,False,Sure different,0.9166666666666666,383.3,3164.0833333333335,8.059220918744403,2022-06-05 03:24:30,2.555907110132642,0.0,0.0
Main,26,False,True,1,12,Non-designer,False,c_AA,c_AA,True,Sure same,0.75,383.3,3532.5,8.157565362368329,2022-06-05 03:24:30,2.0943951023931953,0.0,0.0
